Profile Name,Date,Data,Star
Anonymous,"2 weeks ago | Aug 19, 2024 6:46 PM",One of the best one I treated myself. Easy to operate,Rated 5 out of 5 stars
Weezie,"3 weeks ago | Aug 17, 2024 2:14 PM",This TV has a beautiful and clear picture and enjoying the ease of using all of the other features.  Very pleased to say the least.,Rated 5 out of 5 stars
mom1,"3 weeks ago | Aug 17, 2024 7:47 AM","Top- notch picture, excellent value for the dollar",Rated 5 out of 5 stars
Mike,"3 weeks ago | Aug 16, 2024 8:59 PM","Amazing. I went from an older Samsung Crystal LCD and it's not even comparable. If you can spring it and care for a little bit more light/dark display, I'd say go with the OLED but otherwise this is still an amazing TV. I broke it in with Dune and paired it with a Hisense 5.1.",Rated 5 out of 5 stars
CarlaY,"3 weeks ago | Aug 16, 2024 7:04 PM",The Sony 65” television and sound bar with rear speakers is awesome.,Rated 5 out of 5 stars
NickV,"3 weeks ago | Aug 16, 2024 3:12 PM",The Sony TV is an excellent TV. I was going to get the 55 inch and ended up getting the 65 inch and it is wonderful!,Rated 5 out of 5 stars
JoshuaD,"3 weeks ago | Aug 16, 2024 2:54 PM",Great TV. It looks beautiful. Easy to set up. Great preset settings if you’re not one to mess around with customization. Has all of the settings needed to get the most out of your high end gaming device or Blu-ray player. Very happy with this purchase,Rated 5 out of 5 stars
Vito,"3 weeks ago | Aug 16, 2024 11:09 AM","Purchased tv online from Best Buy, the tv was delivered on time and still in the box. I had to wait for the arrival of the tv wall mount which I had ordered from a different source before opening the tv box. Once ready to mount the tv I discovered that the tv screen was damaged. I called Best Buy and they sent a new tv since I was still in the 15 day return window. Received the new tv 4 days later and all is great. Lesson learned examine item before accepting it. Thanks Best Buy!",Rated 4 out of 5 stars
YangR,"3 weeks ago | Aug 15, 2024 10:12 AM","Great Purchase, we are in love with this TV. Especially Imax Enhanced Mode.",Rated 5 out of 5 stars
DanielC,"3 weeks ago | Aug 14, 2024 3:29 PM","Excellent picture.  Both color and motion are on par with sore of the higher end models I researched.  Pretty good sound, much better than my 3 year old  XBR, but still needs a soundbar to get clear, crisp conversations at low volume.  Overall great buy.",Rated 5 out of 5 stars
ZenashH,"3 weeks ago | Aug 11, 2024 9:12 AM",Wonderful product. Good future. I joy every minute of it,Rated 5 out of 5 stars
IrmaC,"1 month ago | Aug 9, 2024 10:20 PM","Sales Associate, Steven, was very helpful and explained everything in depth.  I appreciated the assistance he offered.",Rated 5 out of 5 stars
Chris,"1 month ago | Aug 9, 2024 1:28 PM","Quick loading and clear, beautiful picture. Love it!",Rated 5 out of 5 stars
Perfect,"1 month ago | Aug 9, 2024 1:20 PM","Great picture, easy to navigate, loving it.  Great improvement.  Looking for this one to last as long as the last - and it's still running after 10 years.",Rated 5 out of 5 stars
KeithE,"1 month ago | Aug 9, 2024 11:53 AM","Great TV.  Picture quality is amazing, as expected. Been Sony TV fan for 30yrs.",Rated 5 out of 5 stars
RobertF,"1 month ago | Aug 9, 2024 10:32 AM",I rated sound quality based on the in set speakers. Very small account of the thickness of the tv,Rated 5 out of 5 stars
Bambi,"1 month ago | Aug 9, 2024 10:26 AM",We had a very good experience they are very help full and we love the ring camera Song TV,Rated 5 out of 5 stars
EllenaM,"1 month ago | Aug 9, 2024 10:23 AM",Great picture for the money. We had geek squad set it up. What a blessing.,Rated 5 out of 5 stars
Wendy,"1 month ago | Aug 9, 2024 7:09 AM",I have only owned Sony Bravia for the last 20 years. They live up to their name.,Rated 5 out of 5 stars
KendaleS,"1 month ago | Aug 5, 2024 12:32 PM",good like it - NICE  DO I HAVE TO UE ALL FIELDS? OK THAT IS NOT GOOD IF I DO NOT HAVE THAT MUCH TO SAY,Rated 4 out of 5 stars
OurTowne,"1 month ago | Aug 3, 2024 4:35 PM","Great screen resolution and colors. Speakers aren't great, but I have it connected to a stereo system.",Rated 5 out of 5 stars
TimothyH,"1 month ago | Aug 3, 2024 1:03 AM","I have had this TV for about 5 months now and I have to say this is the Best TV I have ever owned. The picture quality is superb. The UI is easy to navigate. The sound is deep and nice. Responsiveness is quick, and much more. 

I have to say once I save up enough I will definitely get another for my bedroom.",Rated 5 out of 5 stars
GeneT,"1 month ago | Aug 2, 2024 7:37 PM","Love the TV, but wish it would have come with some basic user instructions or manual as to how to use all the features on the remote control.",Rated 5 out of 5 stars
TylerW,"1 month ago | Aug 2, 2024 3:47 PM",Good picture quality and it works perfectly with our other Sony components!,Rated 5 out of 5 stars
coach,"1 month ago | Aug 2, 2024 2:24 PM",Great TV and a Thank You to Eric the Salesman who spent a good hour explaining the Highs and Lows and differences between the different TV Brands!! Great Guy and Very Knowledgeable!!,Rated 5 out of 5 stars
BobG,"1 month ago | Aug 2, 2024 11:36 AM",Great Tv. Great price. Really clear and vibrant colors. We love it.,Rated 5 out of 5 stars
RichardB,"1 month ago | Aug 2, 2024 11:27 AM","Very pleased with this recent purchase. The color is absolutely great. This replaces a 13 year old Sony Bravia 52"" that is still used in another room in the house.",Rated 5 out of 5 stars
Nikhil,"1 month ago | Aug 2, 2024 10:48 AM","Seamless navigation and connections with my Bose external sound bar, the IMAX enhanced setting just adds magic to HD movies. I have kept it (65 inch TV) on a 70 inch length table on the stand which comes by default with the TV. Be careful setting it up and transporting, you need two people to dissemble it from box and moving to table top. The brightness is really good, I needed that since my room has huge windows on two sides. I was deciding among LG, Samsung and this. I am happy after using it for few weeks.",Rated 5 out of 5 stars
MichaelW,"1 month ago | Aug 2, 2024 10:26 AM",Amazing tv. Had to tweak a couple of small settings but it’s work the money and it’s a pinnacle of technology,Rated 5 out of 5 stars
MickeyJ,"1 month ago | Aug 2, 2024 6:09 AM",Great TV at a great price. Buy it! It’s also on a very nice looking stand.,Rated 5 out of 5 stars
MichaelL,"1 month ago | Jul 31, 2024 5:27 PM","Great tv like sitting in a movie theater. Purchased with 
Bravia sound bar and sub to complete package",Rated 5 out of 5 stars
GeorgeK,"1 month ago | Jul 30, 2024 11:29 AM",Beautiful picture and good sound ! This is my second Sony main TV .,Rated 5 out of 5 stars
MichaelR,"1 month ago | Jul 29, 2024 3:34 PM",Great for both gaming and watching movies. The whole family loves it,Rated 5 out of 5 stars
EstefanitamV,"1 month ago | Jul 29, 2024 2:32 PM",great product and great salesman and very knowledgeable and helpful.,Rated 5 out of 5 stars
3marten,"1 month ago | Jul 29, 2024 5:32 AM","Expectations exceeded for once - audio, video, build",Rated 5 out of 5 stars
EricsonM,"1 month ago | Jul 27, 2024 8:45 PM","Can’t complain anything about this tv. This is a Phenomenal tv! Highly Recommended!!!
Best buy is the beat!!!!!!",Rated 5 out of 5 stars
ManuelR,"1 month ago | Jul 27, 2024 4:36 PM","This Sony tv is very good picture and sound, good quality.",Rated 5 out of 5 stars
AmandaB,"1 month ago | Jul 27, 2024 12:02 PM",Best tv I have ever owned. Display and sound are unmatched and I’ve owned lots of other brands.,Rated 5 out of 5 stars
DebraC,"1 month ago | Jul 26, 2024 7:10 PM",Love this tv.  Looks exactly like it did in the store!,Rated 5 out of 5 stars
AnitaF,"1 month ago | Jul 26, 2024 5:42 PM",This Sony Bravia XR X90L LED 4K UHD Smart tv has a bright and beautiful picture. One of the best tv purchases that I ever made!,Rated 5 out of 5 stars
NicklausP,"1 month ago | Jul 26, 2024 5:04 PM",I have a very bright living room and needed a bump up from my Samsung crystal UHD. Well let’s just say I got a big one!  This tv looks great day or night. Picture is clear and colors really seem to jump out. Great tv for the $$.,Rated 5 out of 5 stars
Dante,"1 month ago | Jul 26, 2024 3:39 PM",Bought for my dad as a father's day gift. He loves it. The picture quality is great.,Rated 5 out of 5 stars
PaulT,"1 month ago | Jul 26, 2024 3:19 PM",Had a great salesman.   Very knowledgeable not pushy.   Loving every thing about my new TV.,Rated 5 out of 5 stars
JacquelineS,"1 month ago | Jul 26, 2024 3:19 PM","Beautiful, clear picture.  Easy remote to use.  Sound is good, but a sound bar really makes it.",Rated 5 out of 5 stars
MarkC,"1 month ago | Jul 26, 2024 2:26 PM","Clear, sharp, crisp picture.   Easy to use and setup.",Rated 5 out of 5 stars
GuadalupeZ,"1 month ago | Jul 26, 2024 1:14 PM","This tv has really good color and visuals, super happy with it. i was in between this tv and an LG c3 but this was well worth it for the price.",Rated 5 out of 5 stars
OrlandoM,"1 month ago | Jul 26, 2024 1:07 PM",The Geek Squad was great in every way -- technically knowledgeable and very pleasant!!,Rated 5 out of 5 stars
RyanM,"1 month ago | Jul 22, 2024 8:56 PM","Disappointed for how expensive the tv is. The tv is beautiful with great image. The issue is the reflection, this thing reflects like a mirror.",Rated 3 out of 5 stars
RoSu,"1 month ago | Jul 20, 2024 11:41 PM",This is a great TV. Worth the price. Great for gaming as well.,Rated 5 out of 5 stars
