Profile Name,Date,Data,Star
Adithya,"2 months ago | Jun 27, 2024 11:41 AM",All the devices  keep disconnecting to this one and needs a manual connection again,Rated 3 out of 5 stars
CharlesC,"2 months ago | Jun 22, 2024 9:17 PM",Piece of mind with Google photos cloud backup of your family memories. Everyone loves the photo memories. We use timers while cooking and on-demand music most everyday.,Rated 5 out of 5 stars
Ronnie,"2 months ago | Jun 21, 2024 10:57 AM",Great product! This integrates well with all my other home smart devices.,Rated 5 out of 5 stars
BBKK,"2 months ago | Jun 17, 2024 4:08 PM","It was great after getting it set up but when the electricity flickers, you have to reset everything again.  It is very frustrating to have to spend that much time and effort over and over.  It should have a battery backup to store the settings.  We went back to our other brand.",Rated 3 out of 5 stars
Anonymous,"2 months ago | Jun 17, 2024 7:46 AM",Prefect addition to my kitchen counter; helps the family stay on task with all the features,Rated 4 out of 5 stars
SimpDaddy,"2 months ago | Jun 15, 2024 8:20 PM","Great addition to my Google home ensemble.  Greets me in the morning, helps with recipes, lists and conversion. Keeps me current on sports, news, & weather. The cam increases home security and my kiddo uses it as another tv/tablet, while I use it for cooking tunes.",Rated 5 out of 5 stars
JasonJ,"2 months ago | Jun 15, 2024 1:33 PM",Great product.... easy to set up lots of options to use.,Rated 5 out of 5 stars
ChanteC,"2 months ago | Jun 14, 2024 10:11 PM",After family member had one and I liked the size of the screen and camera made it more exciting to buy,Rated 5 out of 5 stars
Greenbarrel,"2 months ago | Jun 10, 2024 5:10 PM",I enjoy the speaker quality for music or videos. Its a bit annoying having the Google Home and Nest app for one device.,Rated 4 out of 5 stars
Ralph,"3 months ago | Jun 7, 2024 6:51 PM",Amazing picture quality and all the things we can do. We had the 7in but had to be with the Hub. Larger and easier to see from a distance. Great job Google.,Rated 5 out of 5 stars
TCPJR,"3 months ago | Jun 7, 2024 5:53 PM",Great sound. Great addition for a connected home. Seeing all my photos is nice as well. Connecting to my nest video door bell shows me who is at the door in upstairs bedroom. Easy to set up.,Rated 5 out of 5 stars
MargaritoG,"3 months ago | Jun 7, 2024 4:04 PM",I love this device I use it a lot in my kitchen as I'm cooking,Rated 5 out of 5 stars
MsRuby,"3 months ago | Jun 6, 2024 2:24 PM","I have the smaller one in my bedroom. I love that I can see the cameras, especially the front doorbell, if expecting a package.",Rated 5 out of 5 stars
Carly,"3 months ago | Jun 5, 2024 11:11 PM","I bought this smart Display so that I could have video chats with my nephew and his family. It is easy to set up and easy to use. I love being able to talk to my family whenever they have time to talk. The picture quality and the sound are good, and I’m glad to have it to make it easier to communicate.",Rated 5 out of 5 stars
Miguez,"3 months ago | Jun 4, 2024 12:55 PM","Replacing my old lenovo screen, this one is so much better acreen and sound quality",Rated 5 out of 5 stars
v3rd3drag0n,"3 months ago | Jun 3, 2024 10:54 AM",Great HUB to display and monitor an the APP is useful to make calls to the HUB an see the person clearly.,Rated 5 out of 5 stars
MattA,"3 months ago | Jun 1, 2024 8:39 PM","I got this item after purchasing several google home cameras, a google nest thermostat and a google nest doorbell. It is customizable with pictures and the google voice assitant. It is great for hands free voice commands and even has the option for video calls. The only option for videocalls is through google duos though and my only critique is that it doesnt offer any other option for videocalls, like facebook messenger, because barely anyone uses google duos. It also has much better sound quality than I expected and at max volume can be heard anywhere in my 1500 sqft home. The coolest feature, in my opinion, is that it was say who is at your door based on the saved faces in the google app. It will also show you the doorbell video when someone rings it so you dont have to pull it up on your phone and can use the microphone feature from the hub. Its also touch screen so you dont need to use voice commands all the time. I use it mainly for pulling up YouTube videos or playing music on Spotify while I cook or clean because i have it placed on the counter of my kitchen. I think the price is about $50 higher than it should be but if you have spare cash and lots of google home devices(or devices that work with google assistant) it is worth getting as a way of bring you google devices together with a hands free control hub.",Rated 5 out of 5 stars
MiguelV,"3 months ago | Jun 1, 2024 7:36 AM",We upgraded from the Ale** and we couldnt be happier.,Rated 5 out of 5 stars
HariB,"3 months ago | May 31, 2024 1:59 PM",Not bad at all so it’s about you guys like to buy and test it.,Rated 3 out of 5 stars
Dibyendu,"3 months ago | May 28, 2024 1:37 AM",Great purchase! Easy to sync with google photoes and nest doorbell camera to check on who is outside.,Rated 5 out of 5 stars
Crystal,"3 months ago | May 25, 2024 12:27 PM","Do not buy this if you are replacing your Alexa. It struggles to handle the most basic tasks. No amount of retraining has enabled it to consistently recognize my voice. Accounts don’t cross, so only one person can add things to the grocery list. It just randomly disconnects from apps. Save your money.",Rated 1 out of 5 stars
KrisMatsu,"3 months ago | May 25, 2024 10:22 AM",￼ we replaced our Alexa with this device and it has been a game changer. The screen size alone makes a huge difference as you can see it from across the kitchen. This device is been more compatible with my other smart devices.,Rated 5 out of 5 stars
JayS,"3 months ago | May 25, 2024 5:21 AM",Honestly an amazing product. Would recommend to anyone looking at a nest system,Rated 5 out of 5 stars
Roger,"3 months ago | May 24, 2024 3:19 PM",Best nest hub you can get! This device does just about everything,Rated 5 out of 5 stars
Jain,"3 months ago | May 22, 2024 9:27 PM","Excellent product! Love it, I made my entire home very smart using this HUB.",Rated 5 out of 5 stars
NicoleB,"3 months ago | May 22, 2024 7:48 AM","My son asked for this for Christmas.  He was moving out and wanted the step-by-step cooking instructions.  I use mine all the time for that.  Unfortunately a recent update with Google Assistant the recipes, cookbook and step-by-step cooking directions are no longer a feature.  The Alexa display has better features if you are looking for interactions and music.",Rated 1 out of 5 stars
